ALX1	ESR2	1
ALX1	ETS1	1
ALX1	HMX1	1
ALX1	PBX2	1
ALX1	POU3F3	1
ALX1	SIX1	1
ALX1	TBX15	1
ALX1	TBX3	1
ALX1	TFAP2A	1
ALX3	ELF4	1
ALX3	FERD3L	1
ALX3	HIC1	1
ALX3	LMX1A	1
ALX3	OSR2	1
ALX3	PAX1	1
ALX3	PAX9	1
ALX3	TBX15	1
ALX4	GLI1	1
ALX4	GLI3	1
ALX4	HAND2	1
ALX4	HOXB13	1
ALX4	MSX2	1
ALX4	NEUROG1	1
ALX4	PAX1	1
ALX4	PAX9	1
ALX4	POU2F1	1
ALX4	SOX10	1
ALX4	TBX15	1
ALX4	TBX18	1
ALX4	TBX2	1
ALX4	TBX5	1
ALX4	TP63	1
ALX4	TWIST1	1
ARGFX	DPRX	1
ARGFX	DUXA	1
ARGFX	KLF17	1
ARGFX	NOBOX	1
ARGFX	RAX2	1
ARGFX	VENTX	1
ARGFX	ZNF257	1
ARID3B	KLF12	1
ARID3B	LHX6	1
ARID3B	POU5F1	1
ARID3B	POU5F1B	1
ARID3B	PROP1	1
ARID3B	RBPJ	1
ARID3B	RBPJL	1
ARID3B	SOX2	1
ARID5A	GMEB2	1
ARID5A	POU2F3	1
ARID5A	RARA	1
ARID5A	RBPJL	1
ARID5A	SOX5	1
ARID5A	SOX9	1
ARID5A	THRA	1
ARNT2	BHLHA15	1
ARNT2	HIF1A	1
ARNT2	HNF4G	1
ARNT2	NPAS4	1
ARNT2	POU3F2	1
ARNT2	POU3F3	1
ARNT2	TCF12	1
ARNT2	TCF7L2	1
ARNT2	TEAD1	1
ARNT2	TFDP1	1
ARNT2	TFEB	1
ARNT2	THRB	1
ARNTL	ASCL1	1
ARNTL	BHLHA15	1
ARNTL	BHLHE40	1
ARNTL	BHLHE41	1
ARNTL	CEBPA	1
ARNTL	CLOCK	1
ARNTL	CREB1	1
ARNTL	DBP	1
ARNTL	ESR1	1
ARNTL	ESR2	1
ARNTL	ESRRA	1
ARNTL	FOS	1
ARNTL	HIF1A	1
ARNTL	HLF	1
ARNTL	HNF4A	1
ARNTL	KLF15	1
ARNTL	MYC	1
ARNTL	MYF5	1
ARNTL	MYOD1	1
ARNTL	MYOG	1
ARNTL	NFIL3	1
ARNTL	NPAS2	1
ARNTL	NPAS4	1
ARNTL	NR1D1	1
ARNTL	NR1D2	1
ARNTL	NR1I2	1
ARNTL	NR1I3	1
ARNTL	NR3C1	1
ARNTL	PPARG	1
ARNTL	RARA	1
ARNTL	RELB	1
ARNTL	RORA	1
ARNTL	RORB	1
ARNTL	RORC	1
ARNTL	RXRA	1
ARNTL	SOX12	1
ARNTL	SREBF1	1
ARNTL	TCF3	1
ARNTL	TEF	1
ARNTL	THRA	1
ARNTL	TP53	1
ARX	FOXA2	1
ARX	FOXL2	1
ARX	MAFA	1
ARX	MAFB	1
ARX	NEUROD1	1
ARX	POU3F4	1
ARX	POU4F1	1
ARX	POU4F2	1
ARX	POU4F3	1
ARX	RFX6	1
ARX	TLX2	1
ARX	ZIC2	1
ASCL1	ATF1	1
